City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Torrington,US,41.8007,-73.1212,24.75,85,15,0.63,few clouds
286,San Carlos,VE,9.6612,-68.5827,77.25,68,85,4.38,overcast clouds
287,Tilichiki,RU,60.4667,166.1,-8.03,80,1,8.55,clear sky
288,Aykhal,RU,66.0,111.5,-11.87,97,99,6.31,overcast clouds
289,Nhulunbuy,AU,-12.2333,136.7667,88.41,62,75,11.5,broken clouds
290,Touros,BR,-5.1989,-35.4608,76.1,78,13,8.3,few clouds
291,Naze,JP,28.3667,129.4833,56.32,58,100,6.6,overcast clouds
292,Lasa,IT,46.6166,10.7002,42.26,93,100,10.71,snow
293,Taltal,CL,-25.4,-70.4833,64.92,84,4,0.96,clear sky
294,Najran,SA,17.4924,44.1277,48.85,50,41,2.73,scattered clouds
295,Changping,CN,40.2186,116.2197,38.84,22,100,2.01,overcast clouds
296,Alice Springs,AU,-23.7,133.8833,89.15,19,0,11.5,clear sky
297,Kinna,SE,57.5073,12.6946,40.44,88,7,4.88,clear sky
298,Abu Kamal,SY,34.4506,40.9171,50.4,59,79,4.0,broken clouds
299,Saint-Georges,GD,12.0564,-61.7485,80.28,74,75,14.97,broken clouds
300,Koungou,YT,-12.7336,45.2042,78.51,83,75,12.66,moderate rain
301,Sola,VU,-13.8833,167.55,82.2,80,100,21.88,overcast clouds
302,Acapulco,MX,16.8634,-99.8901,80.42,69,0,6.91,clear sky
303,Yaan,NG,7.3833,8.5667,72.03,20,0,3.8,clear sky
304,Arenal,CO,8.4593,-73.9433,74.12,87,14,2.84,few clouds
305,Coihaique,CL,-45.5752,-72.0662,65.01,72,0,4.61,clear sky
306,Wajima,JP,37.4,136.9,32.68,100,100,2.3,overcast clouds
307,Jambi,ID,-1.6,103.6167,88.43,55,74,6.38,broken clouds
308,Fare,PF,-16.7,-151.0167,81.19,74,76,20.04,light rain
309,Labuan,MY,5.2767,115.2417,88.16,66,20,6.91,few clouds
310,Auki,SB,-8.7676,160.7034,83.52,80,100,10.8,overcast clouds
311,Beni,CD,0.5,29.4667,62.58,48,100,2.13,overcast clouds
312,Caconda,AO,-13.7333,15.0667,57.61,71,100,2.75,light rain
313,Betong,TH,5.7743,101.0723,86.56,61,98,1.5,overcast clouds
314,Sergeyevka,KZ,53.88,67.4158,5.95,86,9,6.24,clear sky
315,Morant Bay,JM,17.8815,-76.4093,76.62,79,3,5.91,clear sky
316,Banda Aceh,ID,5.5577,95.3222,79.79,80,100,9.22,overcast clouds
317,Sibolga,ID,1.7427,98.7792,86.13,59,70,5.5,broken clouds
318,Catuday,PH,16.2923,119.8062,82.94,61,25,8.68,scattered clouds
319,Balgazyn,RU,51.0,95.2,3.83,75,59,1.41,broken clouds
320,Kupang,ID,-10.1667,123.5833,85.42,72,33,9.66,scattered clouds
321,Fortuna,US,40.5982,-124.1573,44.98,96,100,0.0,overcast clouds
322,Lovozero,RU,68.005,35.0117,10.96,91,100,10.27,overcast clouds
323,Panlaitan,PH,12.1191,119.8486,83.26,67,100,9.95,overcast clouds
324,Nanortalik,GL,60.1432,-45.2371,17.06,76,100,55.19,overcast clouds
325,Hamilton,US,39.1834,-84.5333,29.93,88,0,0.0,clear sky
326,Henties Bay,NA,-22.116,14.2845,67.86,82,95,7.94,overcast clouds
327,Port Moresby,PG,-9.4431,147.1797,89.02,66,40,11.5,haze
328,Yuzhnyy,RU,53.2542,83.6936,10.78,61,0,2.24,clear sky
329,Derzhavinsk,KZ,51.1,66.3167,24.1,94,100,15.61,overcast clouds
330,Cienfuegos,CU,22.1461,-80.4356,71.74,78,12,6.91,few clouds
331,Bourail,NC,-21.5667,165.4833,80.42,89,93,13.56,moderate rain
332,Faya,SA,18.3851,42.4509,50.52,77,11,2.66,few clouds
333,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.45,99,98,1.95,overcast clouds
334,Maneadero,MX,31.7167,-116.5667,60.89,26,0,6.13,clear sky
335,Dailly,CH,46.2,7.0333,42.57,91,100,8.48,moderate rain
336,West Bay,KY,19.3667,-81.4167,77.0,84,21,1.01,few clouds
337,Poum,NC,-20.2333,164.0167,81.1,87,100,28.74,moderate rain
338,Tshela,CD,-4.9833,12.9333,70.63,99,100,1.41,overcast clouds
339,Katangli,RU,51.7102,143.2326,12.9,83,100,17.38,overcast clouds
340,Besikduzu,TR,41.052,39.2284,40.89,70,93,7.85,overcast clouds
341,Douglas,US,41.3,-96.167,28.89,65,0,0.0,clear sky
342,Les Cayes,HT,18.2,-73.75,72.32,79,5,2.21,clear sky
343,Esso,RU,55.9333,158.7,14.56,96,99,2.53,overcast clouds
